Loading assemblies from: C:\Users\Tal\AppData\Local\Apps\2.0\X5MLETMC.WLM\5NNM9X0W.CBM\mtgo..tion_a7d96b15d2cce030_0003.0004_b5d581d94d59763e
opcode	type
358	WotC.MTGO.Common.Message.AdmMassUserInfoReqMessage
359	WotC.MTGO.Common.Message.AdmMassUserInfoRespMessage
360	WotC.MTGO.Common.Message.DosMassUserInfoReqMessage
361	WotC.MTGO.Common.Message.DosMassUserInfoRespMessage
362	WotC.MTGO.Common.Message.AdmMassUserUpdateReqMessage
363	WotC.MTGO.Common.Message.AdmMassUserUpdateRespMessage
364	WotC.MTGO.Common.Message.DosMassUserUpdateReqMessage
365	WotC.MTGO.Common.Message.DosMassUserUpdateRespMessage
368	WotC.MTGO.Common.Message.CheckEcomTimestampMessage
369	WotC.MTGO.Common.Message.GetStoresListMessage
370	WotC.MTGO.Common.Message.GetStoreCatalogMessage
371	WotC.MTGO.Common.Message.GetEcomBasketMessage
372	WotC.MTGO.Common.Message.SubmitEcomBasketMessage
373	WotC.MTGO.Common.Message.ClearEcomBasketMessage
374	WotC.MTGO.Common.Message.AddresslistReqMessage
375	WotC.MTGO.Common.Message.AddressCreateReqMessage
376	WotC.MTGO.Common.Message.AddressRemoveReqMessage
377	WotC.MTGO.Common.Message.SetDefaultAddressMessage
378	WotC.MTGO.Common.Message.GetShippingMethodsMessage
379	WotC.MTGO.Common.Message.CreateStoreOrderMessage
380	WotC.MTGO.Common.Message.CancelStoreOrderMessage
381	WotC.MTGO.Common.Message.UpdateStoreOrderMessage
382	WotC.MTGO.Common.Message.ProcessStoreOrderMessage
383	WotC.MTGO.Common.Message.ReviewStoreOrderMessage
384	WotC.MTGO.Common.Message.FlsAdminAdjustGameClockReqMessage
385	WotC.MTGO.Common.Message.FlsAdminAdjustGameClockRespMessage
386	WotC.MTGO.Common.Message.FlsAdminSetInactivityTimerReqMessage
387	WotC.MTGO.Common.Message.FlsAdminSetInactivityTimerRespMessage
388	WotC.MTGO.Common.Message.FlsAdminInactivityTimerQueryReqMessage
389	WotC.MTGO.Common.Message.FlsAdminInactivityTimerQueryRespMessage
391	WotC.MTGO.Common.Message.FlsEcomStoreOrderCreatedMessage
392	WotC.MTGO.Common.Message.FlsEcomStoreOrderCreateFailureMessage
393	WotC.MTGO.Common.Message.FlsEcomStoreOrderUpdatedMessage
394	WotC.MTGO.Common.Message.FlsEcomStoreOrderUpdateFailureMessage
395	WotC.MTGO.Common.Message.FlsEcomStoreOrderCanceledMessage
396	WotC.MTGO.Common.Message.FlsEcomStoreOrderCancelFailureMessage
399	WotC.MTGO.Common.Message.FlsEcomStoreOrderProcessedMessage
400	WotC.MTGO.Common.Message.FlsEcomStoreOrderProcessCompleteMessage
402	WotC.MTGO.Common.Message.FlsEcomStoreOrderReviewMessage
403	WotC.MTGO.Common.Message.FlsEcomStoreOrderReviewFailureMessage
404	WotC.MTGO.Common.Message.FlsEcomStoreOrderSummaryHistoryReqMessage
405	WotC.MTGO.Common.Message.FlsEcomStoreOrderSummaryHistoryRespMessage
406	WotC.MTGO.Common.Message.FlsEcomStoreOrderDetailHistoryReqMessage
